"","optim 1","optim 2","optim 3","optim 4","optim 5","ratio","sub optim 1","sub optim 2","sub optim 3","sub optim 4","sub optim 5"
"486",6,34,41,43,48,1,6,34,41,43,48
"487",6,27,36,37,41,1,6,27,36,37,41
"488",4,11,40,45,48,1,4,11,40,45,48
"489",2,9,14,20,49,1,2,9,14,20,49
"490",6,8,23,29,37,1,6,8,23,29,37
"491",4,8,32,42,49,1,4,8,32,42,49
"492",2,8,11,23,29,1,2,8,11,23,29
"493",19,20,28,31,35,1,19,20,28,31,35
"494",2,17,24,25,32,1,2,17,24,25,32
"495",1,2,7,26,47,1,1,2,7,26,47
"496",8,13,14,19,39,1,8,13,14,19,39
"497",8,20,30,31,35,1,8,20,30,31,35
"498",5,27,30,32,41,1,5,27,30,32,41
"499",1,5,10,20,32,1,1,5,10,20,32
"500",5,14,17,18,32,1,5,14,17,18,32
